,healthy_1,healthy_2,healthy_3,healthy_4,healthy_5,healthy_6,healthy_7,healthy_8,healthy_9,healthy_10,healthy_11,healthy_12,healthy_13,healthy_14,healthy_15,healthy_16,healthy_17,healthy_18,healthy_19,healthy_20,apoptotic_1,apoptotic_2,apoptotic_3,apoptotic_4,apoptotic_5,apoptotic_6,apoptotic_7,apoptotic_8,apoptotic_9,apoptotic_10,apoptotic_11,apoptotic_12,apoptotic_13,apoptotic_14,apoptotic_15,apoptotic_16,apoptotic_17,apoptotic_18,apoptotic_19,apoptotic_20
GAPDH,23,20,13,21,14,16,13,17,17,25,27,6,16,15,17,21,18,16,23,30,20,19,20,17,19,21,23,15,22,31,16,14,29,20,27,21,20,26,14,10
ACTB,18,24,22,18,25,19,23,13,16,15,12,27,16,12,27,12,16,20,22,23,14,29,21,27,22,35,20,10,25,27,10,20,12,25,16,16,15,20,10,14
RPL13A,15,22,16,18,19,26,17,20,21,37,27,20,18,25,23,13,30,27,22,24,15,18,20,27,6,14,18,27,22,26,28,26,21,18,16,15,40,18,25,21
EEF1A1,33,16,16,7,28,22,17,24,17,23,19,16,10,17,21,19,23,17,21,25,18,14,14,15,23,21,24,23,24,15,34,19,13,23,15,17,26,22,18,28
HPRT1,22,29,17,16,26,29,16,13,14,17,23,18,9,22,19,32,12,25,8,37,22,24,19,15,29,12,25,15,24,15,24,16,23,16,28,14,17,20,23,23
CASP3,13,24,24,31,21,18,24,21,18,32,27,27,16,17,19,19,19,19,21,17,44,28,42,58,26,52,40,36,38,32,50,51,41,27,39,48,31,43,38,54
CASP8,11,15,21,28,19,17,17,11,12,22,16,26,20,13,13,23,19,23,16,14,31,32,38,40,32,49,53,43,26,34,42,46,29,59,37,40,45,50,45,40
BAX,7,20,22,12,25,19,29,18,26,25,33,17,22,13,21,21,20,14,31,29,23,31,34,43,36,38,18,55,40,43,45,39,21,36,47,39,52,40,40,46
BCL2,44,20,22,21,21,22,22,27,16,11,23,12,22,25,7,21,16,15,13,15,49,42,36,59,26,35,45,59,55,44,44,31,34,27,57,33,45,37,30,36
FAS,14,13,17,16,15,16,17,15,22,9,21,23,24,19,27,11,19,34,15,17,31,39,43,42,37,25,47,48,31,31,53,44,51,44,36,42,36,33,33,44
FASLG,17,17,19,19,21,26,31,26,20,14,27,19,22,19,20,21,13,16,15,19,38,42,29,37,38,55,39,50,56,38,41,44,30,46,38,24,45,32,42,43
XIAP,22,21,22,16,14,18,22,14,21,18,19,28,23,24,27,23,13,22,18,18,34,34,40,50,47,29,48,29,44,41,35,47,49,38,29,37,29,48,47,39
TRADD,23,21,18,22,30,36,37,20,26,28,21,19,21,14,19,20,11,33,20,17,35,37,40,56,34,39,46,43,39,47,55,35,34,44,42,35,28,38,36,51
TNFRSF10B,22,19,26,32,26,19,28,17,20,8,22,22,25,26,30,26,21,20,20,24,46,29,39,33,43,34,39,25,40,37,33,44,38,55,52,29,39,43,48,43
JAK1,19,11,24,29,32,7,25,17,22,28,22,32,17,20,22,17,20,29,16,13,25,32,35,50,49,34,24,38,48,43,46,28,31,24,37,31,44,45,41,50
JAK3,12,22,22,16,20,34,29,19,19,15,15,18,19,38,25,20,12,31,12,19,44,31,38,39,48,51,47,28,23,32,63,27,33,37,40,31,43,48,44,35
STAT4,20,24,23,18,24,8,21,25,22,14,29,30,15,20,27,18,32,17,18,23,28,30,38,33,47,36,34,32,45,35,47,36,37,66,43,41,25,34,34,48
IRF9,22,16,18,16,13,19,13,16,14,15,10,14,31,22,15,24,16,7,27,11,51,35,27,25,26,25,37,39,52,59,44,30,35,69,25,42,29,43,41,36
CHMP1A,15,13,24,12,23,12,21,18,18,18,31,21,21,17,18,20,9,21,23,19,43,29,41,55,42,36,40,40,45,56,33,40,53,43,39,43,58,21,54,34
CHMP5,32,24,24,28,31,11,17,21,25,17,17,30,10,32,20,17,21,23,22,24,44,31,34,32,37,33,48,35,35,38,26,43,42,49,19,23,29,41,36,26
IFNAR1,18,26,16,15,22,17,21,25,14,22,19,24,18,30,17,16,17,23,21,21,53,43,40,37,46,41,46,40,60,42,52,42,49,46,47,22,52,54,33,38
VDAC2,40,20,30,13,17,11,24,20,18,21,21,34,25,17,24,23,17,15,25,21,53,36,37,38,39,61,46,30,20,47,40,33,55,27,43,22,41,38,39,49
RBM5,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
